ClientID,Age,Gender,County,LoanHeldBefore,NoOfProductsHeld,AvgTxnAmt,NoOfTxns,LastTxnAmt,LoanFlag,IncomeCategory,MerCategory
33,38,0,Dublin,0,2,0.0,95,68.99,0,Lower Middle,Utilities
34,32,0,Dublin,0,4,9470.0,0,,0,Upper Middle,Unknown
35,62,1,Galway,0,4,2949.0,0,,0,Lower Middle,Unknown
36,33,1,Dublin,0,4,0.0,14,198.16,0,Lower Middle,Hardware
37,21,1,Cork,1,1,28.0,4,247.65,0,Lower Middle,Transport
38,60,0,Cork,0,4,0.0,9,220.27,0,Lower Middle,Transport
39,27,0,Cork,0,2,0.0,0,,0,Lower Middle,Unknown
40,23,0,Dublin,0,2,254.0,26,300.76,0,Upper Middle,Hardware
41,57,0,Dublin,0,1,907.0,20,853.45,0,Lower Middle,Electrical Goods
42,64,0,Cork,0,4,0.0,27,737.78,0,Upper Middle,Electrical Goods
43,59,0,Dublin,1,4,210.0,0,,0,Lower Middle,Unknown
44,54,0,Louth,1,5,390.0,4,754.77,0,Lower Middle,Accommodation
45,58,0,Dublin,1,1,1447.0,20,436.37,0,Lower Middle,Transport
46,56,0,Kerry,0,3,0.0,11,476.3,0,Lower Middle,Entertainment
47,55,0,Dublin,0,4,2494.0,83,68.03,1,Lower Middle,Accommodation
48,45,1,Waterford,0,2,2369.0,0,,0,Upper,Unknown
49,29,0,Dublin,0,2,24.0,78,606.36,0,Upper Middle,Transport
50,68,1,Kilkenny,0,2,0.0,4,362.76,0,Upper Middle,Professional Services
51,54,1,Dublin,1,4,0.0,81,687.19,1,Upper Middle,Accommodation
52,55,1,Monaghan,1,2,1234.0,0,,0,Lower Middle,Unknown
53,63,0,Mayo,0,2,0.0,0,,0,Lower Middle,Unknown
54,51,0,Cork,1,4,0.0,3,87.45,0,Upper Middle,Services
55,25,0,Dublin,1,5,1878.0,39,387.91,0,Lower Middle,Clothing
56,27,1,Dublin,0,2,0.0,10,51.58,0,Lower Middle,Accommodation
57,59,1,Cork,0,5,0.0,0,,0,Lower Middle,Unknown
58,21,0,Cork,1,5,0.0,32,78.63,0,Lower Middle,Accommodation
59,63,1,Donegal,0,3,1802.0,37,101.94,0,Lower Middle,Retail
60,40,0,Dublin,1,5,99.0,21,567.95,0,Lower Middle,Entertainment
61,32,0,Laois,0,2,983.0,0,,0,Lower Middle,Unknown
62,32,0,Waterford,0,1,0.0,11,91.27,0,Lower Middle,Transport
63,31,0,Cork,0,4,0.0,40,68.44,0,Low,Health
64,28,0,Dublin,1,3,0.0,12,576.8,0,Lower Middle,Electrical Goods
65,20,0,Dublin,0,5,316.0,0,,0,Upper Middle,Unknown
66,22,1,Carlow,0,1,68.0,0,,0,Low,Unknown
67,43,1,Mayo,0,1,309.0,0,,0,Lower Middle,Unknown
68,43,1,Dublin,0,5,0.0,30,200.1,0,Lower Middle,Health
69,37,1,Tipperary,0,5,1033.0,0,,0,Lower Middle,Unknown
70,42,1,Cork,-1,4,707.0,15,886.13,0,Lower Middle,Retail
71,66,0,Dublin,0,2,2132.0,0,,1,Lower Middle,Unknown
72,32,0,Mayo,1,4,0.0,0,,0,Upper,Unknown
73,67,1,Dublin,-1,3,289.0,13,250.58,0,Lower Middle,Hardware
74,66,1,Cork,1,5,0.0,0,,0,Upper,Unknown
75,20,1,Dublin,1,4,92.0,10,229.6,0,Lower Middle,Restaurants/Dining
76,53,0,Cork,0,0,0.0,0,,0,Low,Unknown
77,38,0,Dublin,0,1,0.0,9,84.84,0,Lower Middle,Transport
78,36,0,Offaly,1,5,0.0,64,568.0,0,Upper Middle,Transport
79,27,1,Clare,0,4,2081.0,40,233.18,0,Lower Middle,Transport
80,39,1,Dublin,0,1,4.0,0,,0,Upper,Unknown
81,41,0,Dublin,0,2,0.0,15,204.43,0,Upper Middle,Accommodation
82,61,0,Dublin,0,1,410.0,41,845.89,0,Upper Middle,Professional Services
83,48,0,Meath,0,5,0.0,16,443.2,0,Upper Middle,Retail
84,36,1,Dublin,0,5,13.0,3,534.61,0,Upper Middle,Accommodation
85,28,1,Cork,1,3,0.0,11,657.52,0,Lower Middle,Transport
86,53,1,Waterford,0,5,0.0,0,,0,Upper Middle,Unknown
87,61,0,Cork,0,5,0.0,22,760.71,0,Upper Middle,Transport
88,27,0,Kerry,0,5,0.0,10,152.38,0,Lower Middle,Retail
89,38,1,Mayo,0,3,945.0,4,464.89,0,Lower Middle,Transport
90,32,0,Cork,0,2,0.0,53,157.5,0,Lower Middle,Professional Services
91,54,0,Dublin,0,5,0.0,11,649.43,0,Lower Middle,Hardware
92,41,1,Cork,0,2,0.0,0,,0,Lower Middle,Unknown
93,70,1,Dublin,1,1,95.0,0,,0,Lower Middle,Unknown
94,23,1,Kerry,0,2,1099.0,0,,0,Upper,Unknown
95,65,0,Cork,0,4,1216.0,22,36.92,0,Lower Middle,Retail
96,38,1,Cork,0,4,0.0,3,847.74,0,Lower Middle,Transport
97,50,0,Kerry,0,2,171.0,24,603.37,0,Lower Middle,Transport
98,57,0,Carlow,0,1,0.0,7,32.85,0,Lower Middle,Transport
99,46,0,Dublin,0,4,0.0,0,,0,Upper,Unknown
100,28,0,Offaly,0,4,4.0,30,711.9,0,Lower Middle,Accommodation
101,46,0,Dublin,0,2,464.0,23,501.56,0,Lower Middle,Transport
102,28,0,Wicklow,0,4,0.0,0,,0,Upper Middle,Unknown
103,29,1,Kerry,0,4,0.0,0,,0,Upper,Unknown
104,64,1,Wicklow,0,3,254.0,2,124.33,0,Upper,Restaurants/Dining
105,44,1,Dublin,0,1,0.0,89,287.41,0,Lower Middle,Transport
106,69,0,Clare,1,3,314.0,0,,0,Lower Middle,Unknown
107,52,1,Cork,0,5,0.0,0,,0,Lower Middle,Unknown
108,25,0,Dublin,0,4,427.0,0,,0,Lower Middle,Unknown
109,52,0,Dublin,0,2,27.0,11,23.28,0,Upper,Accommodation
110,66,0,Tipperary,0,4,382.0,2,337.3,0,Lower Middle,Electrical Goods
111,37,0,Galway,-1,2,0.0,31,52.82,0,Lower Middle,Health
112,29,1,Leitrim,1,5,0.0,2,702.03,0,Lower Middle,Retail
113,52,1,Dublin,1,1,0.0,0,,0,Lower Middle,Unknown
114,24,0,Longford,0,1,2280.0,21,749.0,0,Lower Middle,Clothing
115,45,1,Meath,0,1,939.0,0,,0,Lower Middle,Unknown
116,58,1,Monaghan,0,5,0.0,0,,0,Low,Unknown
117,51,0,Dublin,1,5,0.0,0,,0,Lower Middle,Unknown
118,56,0,Dublin,0,2,342.0,78,640.14,0,Lower Middle,Professional Services
119,58,1,Cork,0,5,299.0,17,598.86,0,Lower Middle,Restaurants/Dining
120,65,0,Cork,0,5,0.0,7,625.79,0,Lower Middle,Retail
121,44,0,Waterford,0,4,133.0,0,,0,Upper Middle,Unknown
122,53,1,Dublin,0,2,22.0,0,,0,Upper,Unknown
123,24,0,Dublin,0,3,0.0,0,,0,Lower Middle,Unknown
124,30,1,Kerry,0,5,5.0,48,110.34,0,Upper Middle,Transport
125,44,1,Limerick,0,3,0.0,42,209.78,0,Lower Middle,Restaurants/Dining
126,25,0,Kerry,0,1,0.0,0,,0,Lower Middle,Unknown
127,64,1,Tipperary,0,4,0.0,0,,0,Lower Middle,Unknown
128,49,0,Dublin,0,4,1640.0,21,435.64,0,Lower Middle,Accommodation
129,70,1,Dublin,0,2,1780.0,13,347.27,0,Lower Middle,Health
130,24,1,Longford,0,5,0.0,0,,0,Upper,Unknown
131,46,0,Dublin,1,3,0.0,32,331.75,0,Lower Middle,Accommodation
132,63,0,Dublin,0,4,159.0,1,434.56,0,Lower Middle,Electrical Goods
133,40,0,Dublin,0,3,0.0,29,704.88,0,Lower Middle,Legal
134,41,0,Cork,0,3,0.0,0,,0,Lower Middle,Unknown
135,44,1,Monaghan,0,2,663.0,33,201.92,0,Lower Middle,Professional Services
136,63,1,Cork,0,1,71.0,2,724.66,0,Upper Middle,Transport
137,56,1,Dublin,0,2,0.0,40,473.97,0,Lower Middle,Transport
138,52,0,Dublin,0,4,226.0,36,153.36,0,Lower Middle,Accommodation
139,42,1,Waterford,1,4,133.0,17,170.38,0,Lower Middle,Utilities
140,42,1,Dublin,1,5,194.0,6,203.66,0,Lower Middle,Transport
141,62,0,Dublin,0,2,1156.0,3,381.08,0,Lower Middle,Transport
142,41,1,Dublin,0,3,45.0,4,249.06,0,Lower Middle,Health
143,65,1,Louth,0,4,0.0,10,775.27,0,Lower Middle,Retail
144,63,1,Dublin,0,4,0.0,9,288.31,0,Upper Middle,Transport
145,23,0,Longford,0,2,1203.0,0,,0,Upper,Unknown
146,59,1,Offaly,0,3,0.0,18,845.25,0,Lower Middle,Groceries/Perishables
147,51,0,Dublin,1,2,96.0,0,,0,Lower Middle,Unknown
148,40,1,Cork,1,4,2495.0,35,90.65,1,Low,Health
149,42,1,Donegal,0,5,0.0,7,857.38,0,Upper,Professional Services
150,22,0,Donegal,0,3,0.0,73,223.32,0,Lower Middle,Transport
151,32,1,Dublin,0,2,0.0,66,888.67,0,Upper,Transport
152,21,0,Dublin,0,1,0.0,0,,0,Lower Middle,Unknown
153,20,0,Dublin,0,3,0.0,32,259.74,0,Lower Middle,Professional Services
154,45,1,Dublin,0,5,0.0,0,,0,Lower Middle,Unknown
155,26,1,Offaly,0,4,0.0,37,269.86,0,Lower Middle,Hardware
156,28,0,Leitrim,0,5,1989.0,24,531.08,0,Lower Middle,Transport
157,34,1,Cork,0,5,0.0,9,667.13,0,Lower Middle,Accommodation
158,49,0,Cavan,0,1,321.0,0,,0,Lower Middle,Unknown
159,58,0,Mayo,1,3,1101.0,2,66.5,0,Lower Middle,Transport
160,44,1,Clare,0,4,0.0,15,36.37,0,Lower Middle,
161,31,1,Longford,0,5,80.0,29,732.07,0,Lower Middle,Professional Services
162,37,1,Dublin,1,5,337.0,0,,0,Lower Middle,Unknown
163,21,0,Limerick,0,5,0.0,18,150.29,0,Lower Middle,Retail
164,29,0,Dublin,0,5,0.0,30,864.04,0,Lower Middle,Transport
165,31,1,Cork,0,2,0.0,2,723.99,0,Lower Middle,Transport
166,57,0,Louth,0,0,12.0,0,,0,Lower Middle,Unknown
167,27,0,Dublin,0,4,402.0,29,152.0,0,Lower Middle,Professional Services
168,44,1,Dublin,0,4,945.0,0,,0,Lower Middle,Unknown
169,34,1,Dublin,1,1,0.0,36,849.86,0,Lower Middle,Retail
170,50,1,Laois,-1,1,8.0,39,439.72,0,Upper,Restaurants/Dining
171,69,1,Kildare,0,4,16.0,29,730.25,0,Upper Middle,Accommodation
172,27,1,Dublin,0,5,1035.0,3,318.34,0,Lower Middle,Professional Services
173,39,0,Tipperary,1,3,359.0,24,137.83,0,Lower Middle,Retail
174,62,1,Dublin,0,3,0.0,11,759.88,0,Lower Middle,Professional Services
175,57,1,Dublin,0,3,0.0,19,553.47,0,Lower Middle,Retail
176,31,0,Meath,0,3,348.0,4,410.22,0,Lower Middle,Accommodation
177,60,0,Dublin,0,3,0.0,6,452.18,0,Upper Middle,Accommodation
178,40,0,Cork,0,1,0.0,8,870.78,0,Lower Middle,Accommodation
179,38,0,Dublin,1,5,0.0,0,,0,Lower Middle,Unknown
180,21,0,Cork,0,5,0.0,0,,0,Lower Middle,Unknown
181,31,0,Offaly,1,5,199.0,0,,0,Lower Middle,Unknown
182,56,1,Dublin,0,3,0.0,0,,0,Lower Middle,Unknown
183,36,0,Leitrim,0,1,0.0,0,,0,Lower Middle,Unknown
184,46,1,Dublin,1,1,1061.0,0,,0,Upper Middle,Unknown
185,20,1,Clare,0,3,0.0,0,,0,Lower Middle,Unknown
186,47,0,Cork,1,5,0.0,38,624.93,0,Lower Middle,Transport
187,56,0,Cork,0,1,80.0,26,851.78,0,Upper Middle,
188,53,0,Leitrim,0,5,0.0,6,351.72,0,Lower Middle,Transport
189,63,1,Dublin,1,2,0.0,2,446.94,0,Upper Middle,Transport
190,44,0,Dublin,0,2,0.0,10,637.7,0,Lower Middle,Professional Services
191,40,1,Clare,0,2,22.0,91,132.56,0,Lower Middle,Groceries/Perishables
192,46,0,Cork,0,1,2948.0,0,,0,Lower Middle,Unknown
193,53,1,Dublin,0,2,0.0,34,157.23,0,Lower Middle,Transport
194,47,1,Cork,0,3,376.0,0,,0,Lower Middle,Unknown
195,53,1,Dublin,0,3,0.0,24,239.5,0,Lower Middle,Retail
196,27,0,Dublin,0,3,440.0,38,456.67,0,Lower Middle,Accommodation
197,55,1,Kilkenny,0,1,2004.0,0,,0,Lower Middle,Unknown
198,54,0,Clare,1,5,261.0,51,94.76,0,Lower Middle,Accommodation
199,35,1,Cork,0,3,95.0,0,,0,Upper,Unknown
200,67,1,Limerick,0,4,88.0,30,706.19,0,Lower Middle,Accommodation
201,29,1,Monaghan,0,3,0.0,0,,0,Lower Middle,Unknown
202,48,0,Offaly,0,3,0.0,7,503.78,0,Lower Middle,Professional Services
203,67,0,Dublin,1,3,0.0,29,608.97,0,Lower Middle,Hardware
204,55,1,Cork,0,4,1625.0,0,,0,Lower Middle,Unknown
205,41,1,Dublin,0,5,544.0,0,,0,Upper Middle,Unknown
206,60,1,Cork,0,5,0.0,0,,0,Upper Middle,Unknown
207,61,0,Dublin,1,5,0.0,3,858.44,0,Lower Middle,Accommodation
208,46,1,Dublin,0,4,158.0,77,563.79,0,Lower Middle,Education
209,48,1,Dublin,0,4,82.0,0,,0,Upper,Unknown
210,70,0,Dublin,0,1,0.0,0,,0,Lower Middle,Unknown
211,66,1,Offaly,1,2,69.0,4,755.56,0,Lower Middle,Transport
212,69,1,Cork,0,3,219.0,86,692.7,0,Lower Middle,Accommodation
213,43,1,Cork,0,3,0.0,30,872.0,0,Upper Middle,Office Equipment
214,62,1,Dublin,0,1,314.0,26,128.56,0,Lower Middle,Services
215,64,0,Dublin,0,2,0.0,62,648.42,0,Upper Middle,Transport
216,44,1,Cavan,0,2,53.0,7,702.36,0,Lower Middle,Accommodation
217,20,1,Dublin,1,1,0.0,0,,0,Lower Middle,Unknown
218,64,1,Monaghan,1,3,100.0,39,837.9,0,Upper Middle,Transport
219,66,0,Cork,0,2,1019.0,2,702.22,0,Lower Middle,Transport
220,34,1,Dublin,1,3,38.0,0,,0,Upper Middle,Unknown
221,34,1,Dublin,0,3,2.0,0,,0,Lower Middle,Unknown
222,20,0,Waterford,0,4,0.0,0,,0,Upper Middle,Unknown
223,49,0,Dublin,1,5,0.0,23,72.42,0,Upper Middle,Clothing
224,53,1,Dublin,0,5,372.0,37,897.7,0,Lower Middle,Retail
225,36,0,Carlow,0,5,76.0,1,898.71,0,Lower Middle,Professional Services
226,54,0,Dublin,0,4,0.0,0,,0,Lower Middle,Unknown
227,41,0,Cork,1,2,283.0,0,,0,Upper Middle,Unknown
228,22,1,Dublin,0,4,0.0,21,748.64,0,Lower Middle,Transport
229,65,0,Dublin,1,2,0.0,31,441.9,0,Lower Middle,Utilities
230,54,1,Dublin,0,4,0.0,1,841.57,0,Lower Middle,Health
231,30,0,Dublin,1,5,0.0,0,,0,Lower Middle,Unknown
232,55,1,Dublin,0,2,0.0,23,436.57,0,Upper Middle,Accommodation
233,32,1,Clare,1,1,353.0,33,77.02,0,Lower Middle,
234,44,1,Dublin,0,4,17.0,0,,0,Lower Middle,Unknown
235,25,1,Dublin,0,2,0.0,0,,0,Lower Middle,Unknown
236,55,0,Cork,1,4,0.0,0,,0,Lower Middle,Unknown
237,57,1,Cork,0,1,0.0,14,7.69,0,Lower Middle,Misc
238,56,1,Kerry,0,3,52.0,0,,0,Upper,Unknown
239,20,0,Cork,1,2,0.0,0,,0,Lower Middle,Unknown
240,42,0,Cork,0,5,0.0,2,160.2,0,Lower Middle,Entertainment
241,57,0,Clare,1,5,2523.0,37,451.16,1,Upper Middle,Entertainment
242,38,0,Dublin,0,2,0.0,11,845.34,0,Upper Middle,Legal
243,65,1,Waterford,1,2,0.0,37,548.81,0,Lower Middle,Retail
244,52,1,Louth,0,2,1393.0,7,222.98,0,Upper Middle,Accommodation
245,30,0,Offaly,0,4,300.0,0,,0,Lower Middle,Unknown
246,34,1,Cavan,0,1,0.0,0,,0,Upper Middle,Unknown
247,38,1,Dublin,0,3,0.0,0,,0,Lower Middle,Unknown
248,38,0,Dublin,0,5,0.0,0,,0,Upper Middle,Unknown
249,22,1,Galway,0,4,2667.0,34,105.57,0,Upper,Transport
250,45,1,Tipperary,1,1,0.0,92,721.07,1,Upper,
251,26,0,Dublin,0,4,1228.0,0,,0,Lower Middle,Unknown
252,34,0,Cork,0,5,26.0,2,614.95,0,Lower Middle,Professional Services
253,29,0,Cork,0,2,980.0,30,632.42,0,Upper Middle,Financial Services
254,23,0,Dublin,0,3,0.0,0,,0,Lower Middle,Unknown
255,41,1,Donegal,0,1,724.0,39,755.82,0,Lower Middle,Transport
256,42,1,Cavan,0,1,1426.0,20,596.6,0,Lower Middle,Accommodation
257,22,0,Clare,0,1,0.0,0,,0,Upper Middle,Unknown
258,69,0,Louth,1,5,0.0,39,476.61,0,Lower Middle,Clothing
259,54,1,Meath,0,4,422.0,4,188.69,0,Lower Middle,Transport
260,27,0,Offaly,0,4,46.0,8,281.86,0,Lower Middle,
261,67,1,Dublin,0,2,262.0,5,95.58,0,Lower Middle,Accommodation
262,27,0,Dublin,0,3,48.0,50,731.91,0,Lower Middle,Professional Services
263,23,1,Dublin,0,1,24.0,35,159.3,0,Lower Middle,Memberships
264,22,0,Mayo,1,3,1868.0,0,,0,Lower Middle,Unknown
265,28,0,Dublin,0,3,0.0,37,801.2,0,Lower Middle,Transport
266,22,0,Dublin,0,1,374.0,23,196.54,0,Lower Middle,Legal
267,65,1,Outside ROI,0,2,864.0,0,,0,Lower Middle,Unknown
268,42,1,Dublin,1,3,405.0,0,,0,Lower Middle,Unknown
269,29,1,Dublin,1,4,2653.0,51,742.32,1,Lower Middle,Professional Services
270,44,0,Mayo,0,5,0.0,0,,0,Lower Middle,Unknown
271,64,1,Kilkenny,0,4,53.0,35,840.31,0,Lower Middle,
272,57,0,Dublin,0,3,237.0,0,,0,Lower Middle,Unknown
273,35,0,Dublin,0,1,723.0,0,,0,Lower Middle,Unknown
274,51,1,Dublin,1,3,0.0,35,830.91,0,Upper Middle,Accommodation
275,22,1,Dublin,0,3,9.0,38,88.17,0,Upper Middle,Professional Services
276,55,0,Dublin,0,5,109.0,14,336.06,0,Upper,Transport
277,45,0,Dublin,0,2,0.0,25,182.97,0,Lower Middle,Health
278,48,0,Dublin,1,5,0.0,31,726.21,0,Lower Middle,Transport
279,46,0,Wicklow,1,3,61.0,37,58.53,0,Lower Middle,Utilities
280,52,1,Cork,0,2,183.0,4,624.51,0,Lower Middle,Clothing
281,48,0,Dublin,0,2,0.0,1,865.33,0,Upper Middle,Accommodation
282,20,0,Dublin,0,3,0.0,3,720.17,0,Upper Middle,Legal
283,67,1,Dublin,1,4,367.0,10,377.85,0,Lower Middle,Transport
284,45,1,Dublin,0,1,0.0,0,,0,Lower Middle,Unknown
285,65,1,Longford,0,3,321.0,42,26.8,0,Lower Middle,Accommodation
286,47,1,Longford,0,3,184.0,1,763.36,0,Lower Middle,Transport
287,49,1,Carlow,0,3,2760.0,0,,0,Lower Middle,Unknown
288,64,0,Dublin,0,1,3.0,0,,0,Lower Middle,Unknown
289,55,1,Mayo,0,4,2758.0,32,65.05,0,Lower Middle,Transport
290,51,1,Mayo,0,3,169.0,37,741.62,0,Lower Middle,Transport
291,29,0,Tipperary,0,2,1044.0,25,568.6,0,Upper Middle,Clothing
292,40,0,Kerry,1,5,0.0,49,231.88,0,Low,Entertainment
293,26,0,Laois,1,1,398.0,19,849.88,0,Upper,Accommodation
294,64,0,Galway,0,2,0.0,69,389.55,0,Lower Middle,Groceries/Perishables
295,43,1,Dublin,0,1,5440.0,3,207.55,0,Lower Middle,Professional Services
296,39,1,Dublin,0,1,0.0,24,516.37,0,Lower Middle,Retail
297,61,1,Tipperary,0,4,6006.0,0,,0,Lower Middle,Unknown
298,66,0,Dublin,1,1,308.0,2,237.6,0,Lower Middle,Accommodation
299,70,0,Dublin,0,2,0.0,1,182.2,0,Lower Middle,Transport
300,27,1,Louth,0,1,0.0,0,,0,Lower Middle,Unknown
301,61,1,Offaly,1,1,2567.0,39,407.34,1,Lower Middle,Accommodation
302,68,1,Laois,1,4,0.0,38,493.04,0,Upper Middle,Professional Services
303,20,1,Dublin,1,4,48.0,74,747.18,0,Lower Middle,Accommodation
304,64,1,Dublin,1,3,0.0,0,,0,Upper,Unknown
305,70,0,Tipperary,0,2,17.0,28,38.95,0,Low,Clothing
306,56,0,Cork,0,1,0.0,15,667.52,0,Upper,Accommodation
307,22,0,Clare,0,1,0.0,0,,0,Lower Middle,Unknown
308,55,1,Mayo,0,2,1946.0,0,,0,Upper Middle,Unknown
309,58,0,Kilkenny,0,1,879.0,93,399.99,0,Upper,Legal
310,64,1,Dublin,1,5,0.0,0,,0,Lower Middle,Unknown
311,59,1,Tipperary,0,1,9.0,0,,0,Upper,Unknown
312,50,0,Laois,0,4,0.0,0,,0,Lower Middle,Unknown
313,29,0,Dublin,0,4,2473.0,0,,0,Lower Middle,Unknown
314,21,0,Dublin,0,2,0.0,0,,0,Upper,Unknown
315,22,0,Kildare,1,2,31.0,0,,0,Lower Middle,Unknown
316,45,1,Dublin,1,3,369.0,48,496.78,0,Lower Middle,Transport
317,51,0,Kerry,0,4,0.0,69,881.2,0,Upper,Office Equipment
318,35,1,Louth,0,2,0.0,12,90.28,0,Lower Middle,Professional Services
319,64,1,Dublin,0,5,31.0,0,,0,Upper Middle,Unknown
320,45,1,Dublin,0,3,101.0,27,494.37,0,Upper,Electrical Goods
321,40,1,Dublin,0,3,142.0,27,617.67,0,Lower Middle,Accommodation
322,56,0,Cork,0,4,0.0,2,364.49,0,Lower Middle,Transport
323,37,1,Carlow,0,2,1418.0,17,740.69,0,Lower Middle,Legal
324,55,1,Dublin,0,3,313.0,29,351.23,0,Low,Retail
325,41,1,Clare,0,2,1520.0,0,,0,Lower Middle,Unknown
326,48,1,Waterford,0,5,425.0,20,69.76,0,Upper Middle,Transport
327,45,1,Cork,1,3,0.0,15,442.69,0,Lower Middle,Professional Services
328,61,0,Dublin,0,5,0.0,96,686.26,0,Lower Middle,Accommodation
329,53,1,Dublin,0,2,0.0,58,312.65,0,Lower Middle,Professional Services
330,44,1,Louth,1,3,0.0,3,91.66,0,Lower Middle,Electrical Goods
331,66,0,Kildare,0,2,79.0,0,,0,Lower Middle,Unknown
332,52,0,Offaly,0,3,669.0,0,,0,Lower Middle,Unknown
333,26,0,Dublin,0,5,130.0,0,,0,Lower Middle,Unknown
334,68,0,Dublin,0,5,1056.0,24,500.7,0,Upper,Transport
335,63,1,Offaly,0,5,0.0,9,552.66,0,Lower Middle,Accommodation
336,47,1,Cork,0,2,0.0,0,,0,Lower Middle,Unknown
337,67,1,Dublin,0,5,1042.0,7,266.52,0,Lower Middle,
338,31,0,Waterford,0,1,133.0,10,858.51,0,Upper Middle,Hardware
339,51,0,Dublin,0,2,1015.0,31,259.52,0,Lower Middle,Transport
340,20,0,Donegal,0,3,0.0,34,353.84,0,Lower Middle,Groceries/Perishables
341,25,1,Dublin,0,2,0.0,6,171.76,0,Lower Middle,Accommodation
342,27,1,Dublin,1,4,1997.0,35,699.78,0,Upper Middle,Office Equipment
343,29,1,Dublin,0,5,374.0,31,262.95,0,Lower Middle,Accommodation
344,46,1,Cork,0,5,377.0,26,453.94,0,Upper Middle,Services
345,70,1,Cork,0,4,305.0,27,595.98,0,Upper,Accommodation
346,58,0,Dublin,1,5,2035.0,0,,0,Low,Unknown
347,52,1,Galway,0,1,0.0,76,200.92,0,Upper,Accommodation
348,51,0,Dublin,0,1,0.0,24,866.16,0,Upper Middle,Transport
349,41,0,Dublin,0,5,1198.0,10,270.47,0,Upper Middle,Professional Services
350,60,1,Laois,0,3,0.0,0,,0,Lower Middle,Unknown
351,58,0,Dublin,0,1,0.0,34,864.89,0,Lower Middle,
352,29,1,Clare,1,1,48.0,33,399.16,0,Upper Middle,Accommodation
353,67,1,Offaly,0,2,0.0,78,62.77,0,Lower Middle,Accommodation
354,33,1,Dublin,1,3,3891.0,4,43.44,0,Lower Middle,Professional Services
355,31,1,Dublin,0,1,248.0,41,407.08,0,Lower Middle,Memberships
356,37,0,Clare,1,1,0.0,0,,0,Lower Middle,Unknown
357,57,0,Dublin,0,5,1141.0,10,335.14,0,Lower Middle,Retail
358,46,1,Offaly,0,5,349.0,29,519.37,0,Upper,Accommodation
359,64,1,Dublin,0,5,0.0,99,225.48,0,Upper Middle,Professional Services
360,33,0,Kilkenny,0,1,0.0,0,,0,Upper,Unknown
361,20,1,Dublin,0,5,1228.0,11,14.03,0,Upper,Transport
362,24,0,Dublin,0,1,290.0,3,881.75,0,Lower Middle,Accommodation
363,25,1,Dublin,0,4,2257.0,23,269.25,0,Lower Middle,Professional Services
364,34,1,Dublin,1,1,0.0,0,,0,Lower Middle,Unknown
365,62,1,Carlow,0,2,236.0,0,,0,Upper,Unknown
366,44,1,Louth,0,2,265.0,38,22.53,0,Upper Middle,
367,26,0,Dublin,0,4,0.0,18,253.53,0,Lower Middle,Accommodation
